TIME_s,FUEL_kg,XI_m,YI_m,ZI_m,PHI_deg,THETA_deg,PSI_deg,P_deg/s,Q_deg/s,R_deg/s,TILTWING1_deg,FLAPWING1_deg,TILTWING2_deg,FLAPWING2_deg,TILTWING3_deg,FLAPWING3_deg,TILTWING4_deg,FLAPWING4_deg,WOW1_nd,WOW2_nd,WOW3_nd,WOW4_nd,TAS_kts,IAS_kts,GAMH_deg,GAMV_deg,ROC_ft/min,RADALT_ft,VGRND_kts,VGRNDX_kts,VGRNDY_kts,ALPHA_deg,BETA_deg,AXG1_g,AYG1_g,AZG1_g,NACELLEANGLE1_deg,OMEGA1_rad/s,TORQUE1_Nm,THETA01_deg,A1S1_deg,B1S1_deg,A0F1_deg,A1F1_deg,B1F1_deg,NACELLEANGLE2_deg,OMEGA2_rad/s,TORQUE2_Nm,THETA02_deg,A1S2_deg,B1S2_deg,A0F2_deg,A1F2_deg,B1F2_deg,NACELLEANGLE3_deg,OMEGA3_rad/s,TORQUE3_Nm,THETA03_deg,A1S3_deg,B1S3_deg,A0F3_deg,A1F3_deg,B1F3_deg,NACELLEANGLE4_deg,OMEGA4_rad/s,TORQUE4_Nm,THETA04_deg,A1S4_deg,B1S4_deg,A0F4_deg,A1F4_deg,B1F4_deg,AHRS1AXB_g,AHRS1AYB_g,AHRS1AZB_g,AHRS2AXB_g,AHRS2AYB_g,AHRS2AZB_g,PILAXB_g,PILAZB_g,PILAYB_g,X_LINACC_RESID_m/s^2,Y_LINACC_RESID_m/s^2,Z_LINACC_RESID_m/s^2,X_ANGACC_RESID_rad/s^2,Y_ANGACC_RESID_rad/s^2,Z_ANGACC_RESID_rad/s^2,V_RESID_m/s,GAMV_RESID_m/s,GAMH_RESID_m/s,P_RESID_rad/s,Q_RESID_rad/s,R_RESID_rad/s,PILOTCOND_RESID_rad,POWER_RESID_HP,OMEGA1_RESID_rad/s,OMEGA2_RESID_rad/s,OMEGA3_RESID_rad/s,OMEGA4_RESID_rad/s,OMEGADOT1_RESID_rad/s^2,OMEGADOT2_RESID_rad/s^2,OMEGADOT3_RESID_rad/s^2,OMEGADOT4_RESID_rad/s^2,NACELLE_RESID_deg,SPARE1_nd,SPARE2_nd,SPARE3_nd,SPARE4_nd,SPARE5_nd
0.00430781,0,-2.187285e-10,4.261971e-10,-15.43279,-0.000435226,-0.1336633,-1.184088e-08,5.923761e-06,-2.936039e-07,-5.370043e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.108033e-05,1.077601e-05,109.8646,0,-0.001114085,43.39036,1.321132e-06,-4.420421e-07,3.798331e-07,87.79694,173.5619,0.002337726,-1.230648e-05,0.9998637,89.9127,60.7732,10460.82,11.35917,0,0.4951228,-2.617875,0.4605324,-0.01704853,89.9127,60.7732,-10578.07,11.44062,0,0.5474289,2.617866,-0.5089493,0.01889627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001373693,-9.504577e-05,-0.001266266,0,0
0.00861562,0,-1.637451e-09,1.642961e-09,-15.43279,-0.000435188,-0.1336633,-4.351754e-08,1.16989e-05,-8.569409e-07,-9.269073e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.204698e-05,2.144147e-05,108.0788,0,-0.002216333,43.39036,2.661888e-06,-8.383193e-07,7.18266e-07,87.97213,173.4097,0.002337027,-1.097127e-05,0.9998642,89.9127,60.7732,10460.83,11.35917,0,0.4951236,-2.617874,0.4604082,-0.01700616,89.9127,60.7732,-10578.06,11.44062,0,0.5474281,2.617865,-0.5087982,0.01884593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130755,-0.0001664964,-0.0005439484,0,0
0.01292343,0,-3.883736e-09,3.111844e-09,-15.43279,-0.0004351256,-0.1336633,-7.788728e-08,1.724068e-05,-1.615734e-06,-6.623253e-06,0,0,0,0,0,0,0,0,0,0,0,0,3.288547e-05,3.198229e-05,109.4746,0,-0.003313029,43.39036,3.341419e-06,-1.188896e-06,6.073632e-07,88.18343,174.5034,0.002336615,-1.670446e-06,0.9998643,89.9127,60.7732,10460.84,11.35917,0,0.4951245,-2.617873,0.4602903,-0.01706408,89.9127,60.7732,-10578.06,11.44062,0,0.5474271,2.617864,-0.5086558,0.01891705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001265347,-0.0001857909,0.001772331,0,0
0.01723124,0,-6.894201e-09,3.969397e-09,-15.43279,-0.0004350393,-0.1336633,-9.326532e-08,2.283025e-05,-2.337706e-06,-5.85912e-07,0,0,0,0,0,0,0,0,0,0,0,0,4.358967e-05,4.23925e-05,135.8958,0,-0.004409962,43.39036,1.924029e-06,-1.527972e-06,1.665566e-07,88.31648,178.2401,0.002336747,-2.933486e-06,0.9998643,89.9127,60.7732,10460.83,11.35917,0,0.4951246,-2.617873,0.4602479,-0.01718841,89.9127,60.7732,-10578.07,11.44062,0,0.5474267,2.617863,-0.5086055,0.01906794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001329737,-0.000149401,0.001030643,0,0
0.02153905,0,-1.068456e-08,4.331563e-09,-15.43279,-0.0004349285,-0.1336633,-9.687889e-08,2.857658e-05,-2.843723e-06,-1.156353e-06,0,0,0,0,0,0,0,0,0,0,0,0,5.444774e-05,5.295236e-05,147.8643,0,-0.005510103,43.39036,2.005783e-06,-1.892734e-06,1.602892e-07,88.34571,178.8776,0.002337242,-1.19407e-05,0.9998643,89.9127,60.7732,10460.82,11.35917,0,0.4951238,-2.617873,0.4603058,-0.0173064,89.9127,60.7732,-10578.08,11.44062,0,0.5474272,2.617864,-0.5086768,0.01921013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133813,-8.552908e-05,-0.001295484,0,0
0.02584686,0,-1.532806e-08,5.018696e-09,-15.43279,-0.0004347936,-0.1336633,-1.105136e-07,3.40527e-05,-3.096742e-06,-5.10434e-06,0,0,0,0,0,0,0,0,0,0,0,0,6.541678e-05,6.362014e-05,123.298,0,-0.006613433,43.39036,3.807677e-06,-2.297898e-06,4.598305e-07,88.3003,177.2119,0.002337732,-1.03775e-05,0.9998645,89.9127,60.7732,10460.82,11.35917,0,0.4951235,-2.617874,0.46043,-0.01734903,89.9127,60.7732,-10578.07,11.44062,0,0.5474272,2.617865,-0.5088279,0.01926018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001204289,-3.194088e-05,-0.0005374601,0,0
0.03015467,0,-2.090742e-08,5.86935e-09,-15.43279,-0.0004346361,-0.1336633,-1.266522e-07,3.905371e-05,-3.499512e-06,-2.323867e-06,0,0,0,0,0,0,0,0,0,0,0,0,7.633154e-05,7.423513e-05,124.4104,0,-0.007716633,43.39036,4.484927e-06,-2.737334e-06,3.078639e-07,88.22863,177.222,0.002338075,-1.248629e-06,0.999865,89.9127,60.7732,10460.84,11.35917,0,0.4951239,-2.617875,0.4605478,-0.01729141,89.9127,60.7732,-10578.06,11.44062,0,0.5474266,2.617866,-0.5089702,0.01918865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001117544,-0.0001550545,0.001828359,0,0
0.03446248,0,-2.747547e-08,6.468319e-09,-15.43279,-0.0004344568,-0.1336634,-1.338123e-07,4.418467e-05,-4.144991e-06,-9.996521e-07,0,0,0,0,0,0,0,0,0,0,0,0,8.701274e-05,8.462297e-05,148.8008,0,-0.008804745,43.39036,3.445747e-06,-3.190167e-06,2.326901e-07,88.19209,178.825,0.002338067,-1.208664e-05,0.9998654,89.9127,60.7732,10460.82,11.35917,0,0.4951235,-2.617876,0.4605903,-0.01716742,89.9127,60.7732,-10578.08,11.44063,0,0.5474268,2.617867,-0.5090202,0.01903736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001264621,-0.000144624,-0.001213561,0,0
0.03877029,0,-3.502358e-08,7.343357e-09,-15.43278,-0.0004342552,-0.1336634,-1.462355e-07,4.941967e-05,-4.903761e-06,-4.697754e-06,0,0,0,0,0,0,0,0,0,0,0,0,9.784591e-05,9.51586e-05,129.3351,0,-0.009894124,43.39036,5.308084e-06,-3.62181e-06,5.570099e-07,88.16135,177.5956,0.00233756,-1.081738e-05,0.9998659,89.9127,60.7732,10460.82,11.35917,0,0.4951231,-2.617875,0.4605326,-0.01704981,89.9127,60.7732,-10578.07,11.44063,0,0.5474268,2.617866,-0.5089487,0.01889477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001165849,-0.0002076523,-0.0005033679,0,0
0.0430781,0,-4.34752e-08,8.451619e-09,-15.43278,-0.0004340316,-0.1336634,-1.606147e-07,5.438306e-05,-5.940194e-06,-1.913568e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.0001085281,0.0001055474,128.3914,0,-0.01097397,43.39036,5.948713e-06,-4.005565e-06,4.431678e-07,88.18112,177.5382,0.002336903,-1.717323e-06,0.9998661,89.9127,60.7732,10460.83,11.35917,0,0.4951234,-2.617874,0.4604085,-0.01700756,89.9127,60.7732,-10578.06,11.44063,0,0.5474262,2.617865,-0.5087975,0.01884425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113852,-0.0002735359,0.00179599,0,0
